batch	label	sample
1	A1	13-202
1	B1	13-202
1	C1	13-230
1	D1	13-230
1	E1	13-294
1	F1	13-294
1	G1	9-IPC
1	H1	9-IPC
1	I1	15-302
1	J1	15-302
1	K1	15-328
1	L1	15-328
1	M1	15-422
1	N1	15-422
1	O1	IZ_1681
1	P1	IZ_1681
1	Q1	IZ_2161
1	R1	IZ_2161
1	S1	IZ_2178
1	T1	IZ_2178
1	U1	IZ_4272
1	V1	IZ_4272
1	W1	IZ_4383
1	X1	IZ_4383
2	A2	07-242
2	B2	07-242
2	C2	11-158
2	D2	11-158
2	E2	14-013
2	F2	14-013
2	G2	14-286
2	H2	14-286
2	I2	15-406
2	J2	15-406
2	K2	15-446
2	L2	15-446
2	M2	16-226
2	N2	16-226
2	O2	9-IPC
2	P2	9-IPC
2	Q2	IZ_1287
2	R2	IZ_1287
2	S2	IZ_2114
2	T2	IZ_2114
2	U2	IZ_3304
2	V2	IZ_3304
2	W2	IZ_4296
2	X2	IZ_4296
3	A3	10-094
3	B3	10-094
3	C3	15-307
3	D3	15-307
3	E3	16-001
3	F3	16-001
3	G3	9-IPC
3	H3	9-IPC
3	I3	16-324
3	J3	16-324
3	K3	IZ_1168
3	L3	IZ_1168
3	M3	IZ_1740
3	N3	IZ_1740
3	O3	IZ_2923
3	P3	IZ_2923
3	Q3	IZ_4319
3	R3	IZ_4319
3	S3	IZ_45
3	T3	IZ_45
3	U3	IZ_690
3	V3	IZ_690
3	W3	IZ_711
3	X3	IZ_711
4	A4	11-043
4	B4	11-043
4	C4	12-058
4	D4	12-058
4	E4	14-012
4	F4	14-012
4	G4	14-150
4	H4	14-150
4	I4	15-184
4	J4	15-184
4	K4	9-IPC
4	L4	9-IPC
4	M4	16-403
4	N4	16-403
4	O4	IZ_1233
4	P4	IZ_1233
4	Q4	IZ_1993
4	R4	IZ_1993
4	S4	IZ_2035
4	T4	IZ_2035
4	U4	IZ_28
4	V4	IZ_28
4	W4	IZ_408
4	X4	IZ_408
5	A5	11-109
5	B5	11-109
5	C5	11-333
5	D5	11-333
5	E5	12-036
5	F5	12-036
5	G5	14-246
5	H5	14-246
5	I5	16-314
5	J5	16-314
5	K5	IZ_2071
5	L5	IZ_2071
5	M5	IZ_2337
5	N5	IZ_2337
5	O5	IZ_2736
5	P5	IZ_2736
5	Q5	IZ_3916
5	R5	IZ_3916
5	S5	9-IPC
5	T5	9-IPC
5	U5	IZ_396
5	V5	IZ_396
5	W5	IZ_4254
5	X5	IZ_4254
6	A6	9-IPC
6	B6	9-IPC
6	C6	12-177
6	D6	12-177
6	E6	14-017
6	F6	14-017
6	G6	14-100
6	H6	14-100
6	I6	14-300
6	J6	14-300
6	K6	15-385
6	L6	15-385
6	M6	16-097
6	N6	16-097
6	O6	IZ_2166
6	P6	IZ_2166
6	Q6	IZ_3498
6	R6	IZ_3498
